Country,Start date,End date
Albania,3/13/2020,
Algeria,3/23/2020,4/29/2020
Argentina,3/19/2020,5/10/2020
Armenia,3/24/2020,5/11/2020
Australia,3/23/2020,5/14/2020
Austria,3/16/2020,4/14/2020
Azerbaijan,3/31/2020,5/4/2020
Bangladesh,3/26/2020,5/5/2020
Barbados,3/28/2020,5/3/2020
Belarus,4/7/2020,
Belgium,3/18/2020,5/3/2020
Bermuda,4/4/2020,5/2/2020
Bolivia,3/22/2020,4/30/2020
Botswana,4/2/2020,4/30/2020
Brazil,3/17/2020,
Bulgaria,3/13/2020,5/13/2020
Canada,3/13/2020,5/4/2020
Chile,3/19/2020,
China,1/23/2020,4/8/2020
Colombia,3/24/2020,5/11/2020
Costa Rica,3/23/2020,
Croatia,3/18/2020,5/4/2020
Cuba,3/23/2020,
Czech Republic,3/16/2020,4/17/2020
Denmark,3/13/2020,5/10/2020
Ecuador,3/24/2020,5/4/2020
El Salvador,3/12/2020,4/28/2020
Eritrea,4/2/2020,4/23/2020
Estonia,3/12/2020,5/1/2020
Fiji,3/20/2020,4/7/2020
Finland,3/27/2020,5/13/2020
France,3/17/2020,5/11/2020
Georgia,3/31/2020,5/22/2020
Germany,3/23/2020,5/3/2020
Ghana,3/30/2020,4/20/2020
Gibraltar,3/22/2020,5/22/2020
Greece,3/23/2020,5/4/2020
Guernsey,3/25/2020,
Honduras,3/15/2020,
Hungary,3/28/2020,5/3/2020
India,3/25/2020,5/3/2020
Indonesia,3/26/2020,
Iran,3/24/2020,
Iraq,3/24/2020,
Ireland,3/27/2020,5/5/2020
Israel,4/2/2020,
Italy,3/9/2020,5/4/2020
Jamaica,4/15/2020,5/6/2020
Japan,4/7/2020,5/6/2020
Jordan,3/18/2020,
Lebanon,3/22/2020,5/10/2020
Liberia,3/23/2020,5/1/2020
Libya,3/22/2020,5/8/2020
Lithuania,3/16/2020,5/11/2020
Luxembourg,3/18/2020,
Madagascar,3/23/2020,
Malaysia,3/18/2020,5/12/2020
Mauritius,3/24/2020,5/4/2020
Mexico,3/21/2020,4/30/2020
Monaco,3/14/2020,5/3/2020
Montenegro,3/24/2020,
Morocco,3/19/2020,5/20/2020
Nepal,3/24/2020,5/7/2020
Netherlands,3/16/2020,5/19/2020
New Zealand,3/26/2020,5/11/2020
Nigeria,3/30/2020,4/28/2020
Norway,3/12/2020,4/27/2020
Oman,4/10/2020,
Pakistan,3/24/2020,4/30/2020
Paraguay,3/20/2020,
Peru,3/16/2020,5/10/2020
Philippines,3/15/2020,5/15/2020
Poland,3/13/2020,5/3/2020
Portugal,3/19/2020,5/2/2020
Puerto Rico,3/15/2020,5/3/2020
Qatar,3/11/2020,
Republic of the Congo,3/31/2020,4/20/2020
Romania,3/25/2020,5/12/2020
Russia,3/30/2020,5/1/2020
Rwanda,3/21/2020,4/30/2020
Saudi Arabia,3/26/2020,
Senegal,3/30/2020,
Sierra Leone,4/4/2020,4/10/2020
Singapore,4/7/2020,6/1/2020
Slovakia,3/16/2020,
Slovenia,3/14/2020,
South Africa,3/26/2020,4/30/2020
Spain,3/14/2020,5/9/2020
Sri Lanka,3/20/2020,5/4/2020
Switzerland,3/17/2020,5/11/2020
Thailand,3/25/2020,4/30/2020
Trinidad and Tobago,3/17/2020,2020-04-31
Tunisia,3/22/2020,5/3/2020
Turkey,4/11/2020,4/27/2020
Ukraine,3/17/2020,5/11/2020
United Arab Emirates,3/22/2020,4/24/2020
United Kingdom,3/24/2020,5/7/2020
United States,3/17/2020,
Venezuela,3/17/2020,5/13/2020
Zimbabwe,3/30/2020,5/4/2020
